#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 100
numEdges = 200
usedAlgorithm = Test
dataSource = GridData
END
#################################################################
SECTION2 (Nodes Information)
NodeID Base Counts
0 9.000000 10.0
1 9.600000 15.0
2 10.700000 52.0
3 11.300000 44.0
4 8.200000 39.0
5 11.200000 9.0
6 10.200000 14.0
7 11.600000 10.0
8 10.800000 10.0
9 9.100000 9.0
10 7.100000 13.0
11 10.400000 4.0
12 10.100000 43.0
13 8.800000 63.0
14 11.200000 12.0
15 11.200000 12.0
16 9.400000 8.0
17 9.500000 10.0
18 11.000000 12.0
19 10.600000 14.0
20 10.700000 12.0
21 9.900000 8.0
22 10.200000 10.0
23 9.100000 9.0
24 9.200000 6.0
25 11.100000 8.0
26 11.200000 14.0
27 11.300000 7.0
28 9.200000 15.0
29 11.000000 13.0
30 9.400000 9.0
31 8.300000 8.0
32 11.100000 7.0
33 9.700000 13.0
34 9.100000 8.0
35 8.500000 11.0
36 8.000000 17.0
37 9.500000 12.0
38 9.600000 10.0
39 11.000000 8.0
40 10.500000 14.0
41 9.300000 11.0
42 9.800000 4.0
43 11.100000 18.0
44 9.500000 5.0
45 11.300000 13.0
46 10.900000 57.0
47 9.500000 48.0
48 11.100000 13.0
49 10.600000 14.0
50 9.400000 10.0
51 9.200000 9.0
52 9.000000 7.0
53 10.100000 11.0
54 9.600000 43.0
55 10.200000 42.0
56 10.800000 54.0
57 10.200000 11.0
58 8.900000 7.0
59 8.000000 14.0
60 10.000000 13.0
61 9.600000 7.0
62 10.000000 9.0
63 11.000000 53.0
64 9.600000 55.0
65 9.300000 35.0
66 10.300000 42.0
67 11.300000 9.0
68 10.100000 7.0
69 9.100000 17.0
70 9.700000 13.0
71 10.200000 5.0
72 10.500000 49.0
73 9.000000 42.0
74 11.100000 11.0
75 8.100000 14.0
76 11.700000 8.0
77 10.500000 7.0
78 9.600000 13.0
79 9.300000 10.0
80 9.900000 5.0
81 9.400000 7.0
82 9.400000 40.0
83 8.800000 11.0
84 9.700000 11.0
85 9.200000 15.0
86 9.600000 12.0
87 9.700000 12.0
88 11.700000 9.0
89 9.300000 11.0
90 11.500000 13.0
91 9.400000 11.0
92 9.500000 54.0
93 10.800000 47.0
94 10.200000 52.0
95 9.200000 10.0
96 11.400000 9.0
97 9.300000 8.0
98 10.300000 11.0
99 10.400000 13.0
END
#################################################################
SECTION3 (Edges Information)
EndPoint0 EndPoint1 Weight
0 1 1.000000
0 9 1.000000
0 10 1.000000
0 90 1.000000
1 0 1.000000
1 2 1.000000
1 11 1.000000
1 91 1.000000
2 1 1.000000
2 3 1.000000
2 12 1.000000
2 92 1.000000
3 2 1.000000
3 4 1.000000
3 13 1.000000
3 93 1.000000
4 3 1.000000
4 5 1.000000
4 14 1.000000
4 94 1.000000
5 4 1.000000
5 6 1.000000
5 15 1.000000
5 95 1.000000
6 5 1.000000
6 7 1.000000
6 16 1.000000
6 96 1.000000
7 6 1.000000
7 8 1.000000
7 17 1.000000
7 97 1.000000
8 7 1.000000
8 9 1.000000
8 18 1.000000
8 98 1.000000
9 0 1.000000
9 8 1.000000
