#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 100
numEdges = 200
usedAlgorithm = Test
dataSource = GridData
END
#################################################################
SECTION2 (Nodes Information)
NodeID Base Counts
0 4.725140 5.30767848651336
1 4.612737 5.93134530716596
2 5.342709 5.842510977687133
3 4.975191 5.3686977240809615
4 5.261838 5.968610508083877
5 4.894258 5.136669851459142
6 5.213844 5.932282866681694
7 5.608518 4.300219335485942
8 5.119206 3.721927399474474
9 4.945699 3.9454210837261714
10 4.900113 5.677332734402457
11 5.444305 5.198523881802998
12 4.779476 4.407689733454562
13 5.031770 4.6534244893045615
14 4.916792 4.522129145395115
15 4.659258 19.97347077140987
16 5.303136 19.817852675116875
17 5.240950 19.922493505101116
18 5.368037 19.128723872022046
19 5.569338 7.231236189648326
20 4.930695 19.58741990815283
21 4.886016 19.70589448759953
22 4.685478 4.784488511930469
23 5.322424 7.046129962911368
24 4.841156 4.540070764814023
25 5.066862 20.58309533226535
26 5.018836 21.11939997740819
27 5.132216 20.61930861343577
28 4.464965 18.910764122605254
29 5.269491 8.106939806359815
30 4.442412 21.959185212786075
31 5.036304 20.535304069936217
32 5.002257 18.62395431206757
33 5.340006 16.943279892215287
34 4.699516 18.367245442310047
35 4.877632 19.950138100256652
36 5.372933 21.100544256662364
37 5.059744 19.5901609765374
38 4.625356 21.39263292216131
39 4.584585 20.777839644334705
40 5.177236 7.044676520717514
41 5.058457 21.719724105109915
42 5.110478 19.080058149782133
43 5.338823 19.183778782005742
44 4.457705 21.135252757429615
45 5.249285 19.714434056852404
46 5.248621 19.418736663618507
47 5.363738 18.5057964240996
48 5.413181 20.096653145254614
49 5.339784 3.4669549873153866
50 5.144545 6.6127352806764925
51 5.150690 20.087140787739198
52 4.990523 3.126166753760872
53 4.624326 5.806972341125757
54 4.858749 6.122423157257849
55 4.906224 4.8701274283944445
56 4.900076 4.233187141989478
57 5.381110 4.862106083864341
58 4.747122 5.552787780097619
59 5.289097 6.203341401798752
60 5.025894 5.081910932188762
61 4.994924 18.792958502343197
62 5.052441 5.546843803685201
63 5.414882 4.043137640321412
64 5.203138 4.871046549494988
65 4.759665 3.8992392858725866
66 5.058185 6.347644130573778
67 5.194216 4.60367912438732
68 5.030287 5.2054924446866515
69 5.114441 5.29030025056853
70 4.886061 3.9875847065595464
71 4.999455 4.357867220667803
72 5.031708 6.392711698212207
73 4.818634 5.194580629629523
74 4.954749 6.386793482420515
75 5.399726 3.957901668066653
76 5.710705 4.996219096396144
77 4.850150 4.873265106025155
78 4.988692 4.7819464242845475
79 4.431371 5.1563347137093265
80 5.007297 5.731452781037571
81 4.960739 4.432244729440003
82 5.137575 5.393480609382789
83 5.096594 5.2901444094748005
84 5.196089 5.7932613406115445
85 5.276885 5.020719039442982
86 4.789894 6.489945917731222
87 4.819610 6.300339253619614
88 5.235378 4.142633759070535
89 5.131633 5.551235961127599
90 5.329798 4.887418706202418
91 5.147118 2.245558800157967
92 5.150782 4.387142470764926
93 4.810584 4.809749648635095
94 5.119744 4.984447010106155
95 5.176360 5.50659550550951
96 5.101259 5.5989947054913145
97 5.043281 4.0171823948754435
